,Nome,Sobrenome,Nacionalidade,Posição, Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assist,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
13,Christian,Acella, ITA,LT,Cremonese, Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
14,Francesco,Acerbi, ITA,ZG,Inter, Serie A,35,1988,27,23,2.185,24.3,0,2,2,0,0,0,4,0,0.8,0.8,1.0,"1,9",38,100,30,"0,00","0,08","0,08","0,00","0,08","0,03","0,04","0,08","0,03","0,08"
15,Álvaro,Aceves, ESP,G,Valladolid, La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
16,Mohamed,Achi, FRA,AT,Nantes, Ligue 1,21,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,2",2,3,1,"0,00","0,00","0,00","0,00","0,00","0,30","0,08","0,39","0,30","0,39"
17,Marcos,Acuña, ARG,ZG,Sevilla, La Liga,31,1991,26,19,1.720,19.1,3,2,5,3,0,0,10,2,1.1,1.1,3.9,"5,0",42,97,85,"0,16","0,10","0,26","0,16","0,26","0,06","0,20","0,26","0,06","0,26"
18,Che,Adams,t SCO,AT,Southampton,Premier League,26,1996,28,23,1.992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,"9,4",17,34,115,"0,23","0,14","0,36","0,23","0,36","0,30","0,13","0,42","0,30","0,42"
19,Tyler,Adams, USA,LT,Leeds United,Premier League,24,1999,24,24,2.156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,"1,5",19,136,20,"0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,06","0,00","0,06"
20,Sargis,Adamyan, ARM,"AT,LT",Köln, Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,"4,1",12,24,58,"0,14","0,28","0,42","0,14","0,42","0,47","0,11","0,58","0,47","0,58"
21,Tosin,Adarabioyo,ENG,ZG,Fulham,Premier League,25,1997,22,20,1.815,20.2,1,0,1,1,0,0,3,0,0.6,0.6,0.4,"1,0",16,83,3,"0,05","0,00","0,05","0,05","0,05","0,03","0,02","0,05","0,03","0,05"
22,Martin,Adeline, FRA,"LT,AT",Reims, Ligue 1,19,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,"0,1",1,3,1,"0,00","0,00","0,00","0,00","0,00","0,06","0,00","0,06","0,06","0,06"
23,Karim,Adeyemi, GER,"AT,LT",Dortmund, Bundesliga,21,2002,21,17,1.186,13.2,6,5,11,6,0,1,8,0,4.8,4.0,3.6,"7,6",42,45,118,"0,46","0,38","0,83","0,46","0,83","0,36","0,27","0,64","0,30","0,58"
24,Amine,Adli, FRA,"AT,LT",Leverkusen, Bundesliga,23,2000,23,13,1.276,14.2,4,3,7,4,0,0,2,1,4.4,4.4,1.6,"6,0",42,49,121,"0,28","0,21","0,49","0,28","0,49","0,31","0,11","0,43","0,31","0,43"
25,Yacine,Adli, FRA,"LT,AT",Milan, Serie A,22,2000,5,1,124,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,"0,2",5,9,7,"0,00","0,00","0,00","0,00","0,00","0,06","0,07","0,13","0,06","0,13"
26,Michel,Aebischer, SUI,"AT,LT",Bologna, Serie A,26,1997,29,16,1.361,15.1,1,0,1,1,0,0,3,0,1.3,1.3,0.6,"1,8",12,36,77,"0,07","0,00","0,07","0,07","0,07","0,08","0,04","0,12","0,08","0,12"
27,Felix,Afena-Gyan, GHA,"AT,LT",Cremonese, Serie A,20,2003,21,6,757,8.4,0,0,0,0,0,0,4,0,1.8,1.8,0.1,"2,0",20,8,54,"0,00","0,00","0,00","0,00","0,00","0,22","0,02","0,23","0,22","0,23"
28,Emmanuel,Agbadou, CIV,ZG,Reims, Ligue 1,25,1997,26,24,2.155,23.9,0,2,2,0,0,0,5,2,1.6,1.6,1.9,"3,6",15,112,7,"0,00","0,08","0,08","0,00","0,08","0,07","0,08","0,15","0,07","0,15"
29,Julen,Agirrezabala, ESP,G,Athletic Club, La Liga,22,2000,7,6,585,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
30,Lucien,Agoume, FRA,LT,Troyes, Ligue 1,21,2002,15,14,1.094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,"1,9",9,93,10,"0,00","0,08","0,08","0,00","0,08","0,07","0,09","0,16","0,07","0,16"
31,Felix,Agu, GER,"ZG,AT",Werder Bremen, Bundesliga,23,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,1",0,2,2,"0,00","0,00","0,00","0,00","0,00","0,07","0,14","0,22","0,07","0,22"
32,Álvaro,Aguado, ESP,LT,Valladolid, La Liga,27,1996,30,15,1.599,17.8,1,2,3,1,0,0,3,0,0.8,0.8,1.8,"2,6",25,117,42,"0,06","0,11","0,17","0,06","0,17","0,04","0,10","0,15","0,04","0,15"
33,Kevin,Agudelo, COL,"LT,AT",Spezia, Serie A,24,1998,32,23,2.059,22.9,0,1,1,0,0,0,5,0,1.4,1.4,2.9,"4,3",78,106,97,"0,00","0,04","0,04","0,00","0,04","0,06","0,13","0,19","0,06","0,19"
34,Nayef,Aguerd, MAR,ZG,West Ham,Premier League,27,1996,16,15,1.415,15.7,2,0,2,2,0,0,4,0,2.2,2.2,0.4,"2,6",2,24,4,"0,13","0,00","0,13","0,13","0,13","0,14","0,03","0,17","0,14","0,17"
35,Ruben,Aguilar, FRA,ZG,Monaco, Ligue 1,30,1993,18,12,1.003,11.1,0,0,0,0,0,0,2,0,0.2,0.2,0.9,"1,1",21,86,64,"0,00","0,00","0,00","0,00","0,00","0,02","0,08","0,10","0,02","0,10"
36,Naouirou,Ahamada, FRA,"LT,AT",Crystal Palace,Premier League,21,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,"0,2",1,2,11,"0,00","0,00","0,00","0,00","0,00","0,15","0,07","0,22","0,15","0,22"
37,Naouirou,Ahamada, FRA,LT,Stuttgart, Bundesliga,21,2002,17,17,1.398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,"2,1",43,56,54,"0,13","0,13","0,26","0,13","0,26","0,05","0,08","0,13","0,05","0,13"
38,Amar,Ahmed, SWE,AT,Troyes, Ligue 1,19,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,1,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
39,Jean-Eudes,Aholou, CIV,LT,Strasbourg, Ligue 1,29,1994,28,16,1.287,14.3,3,1,4,3,0,0,4,1,1.1,1.1,0.9,"2,1",25,48,37,"0,21","0,07","0,28","0,21","0,28","0,08","0,07","0,14","0,08","0,14"
40,Joseph,Aidoo, GHA,ZG,Celta Vigo, La Liga,27,1995,32,32,2.849,31.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,"1,0",15,85,2,"0,09","0,00","0,09","0,09","0,09","0,03","0,00","0,03","0,03","0,03"
41,Ola,Aina, NGA,ZG,Torino, Serie A,26,1996,16,9,807,9.0,1,1,2,1,0,0,5,0,0.7,0.7,2.0,"2,8",33,39,41,"0,11","0,11","0,22","0,11","0,22","0,08","0,23","0,31","0,08","0,31"
42,Rayan,Aït Nouri, ALG,ZG,Wolves,Premier League,21,2001,20,9,1.031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,"1,7",30,43,76,"0,09","0,00","0,09","0,09","0,09","0,06","0,09","0,15","0,06","0,15"
43,Emanuel,Aiwum, AUT,ZG,Cremonese, Serie A,22,2000,22,16,1.563,17.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,"0,6",19,43,7,"0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,03","0,01","0,03"
44,Kristoffer,Ajer, NOR,ZG,Brentford,Premier League,25,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,1",10,31,12,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01"
45,Ludovic,Ajorque, FRA,AT,Strasbourg, Ligue 1,29,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,"3,5",2,13,55,"0,12","0,00","0,12","0,00","0,00","0,39","0,10","0,50","0,30","0,40"
46,Ludovic,Ajorque, FRA,"AT,LT",Mainz 05, Bundesliga,29,1994,15,14,1.112,12.4,6,1,7,6,0,0,4,0,4.4,4.4,1.7,"6,1",4,28,81,"0,49","0,08","0,57","0,49","0,57","0,36","0,14","0,50","0,36","0,50"
47,Manuel,Akanji, SUI,ZG,Manchester City,Premier League,27,1995,27,22,2.141,23.8,0,1,1,0,0,0,2,0,1.3,1.3,0.4,"1,7",23,103,12,"0,00","0,04","0,04","0,00","0,04","0,05","0,02","0,07","0,05","0,07"
48,Nathan,Aké, NED,ZG,Manchester City,Premier League,28,1995,25,21,1.811,20.1,1,0,1,1,0,0,2,0,1.6,1.6,0.6,"2,2",25,139,30,"0,05","0,00","0,05","0,05","0,05","0,08","0,03","0,11","0,08","0,11"
49,Sergio,Akieme, ESP,ZG,Almería, La Liga,25,1997,26,26,2.189,24.3,1,0,1,1,0,0,5,0,1.5,1.5,2.0,"3,5",58,58,83,"0,04","0,00","0,04","0,04","0,04","0,06","0,08","0,14","0,06","0,14"
50,Maghnes,Akliouche, FRA,"LT,AT",Monaco, Ligue 1,21,2002,8,4,308,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.3,"0,5",6,13,26,"0,00","0,00","0,00","0,00","0,00","0,05","0,08","0,14","0,05","0,14"
51,Paul,Akouokou, CIV,"LT,ZG",Betis, La Liga,25,1997,10,3,420,4.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,"0,2",0,8,1,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,03","0,03"
52,Jean-Daniel,Akpa-Akpro, CIV,LT,Empoli, Serie A,30,1992,20,13,1.097,12.2,1,0,1,1,0,0,8,2,0.7,0.7,0.7,"1,4",16,33,32,"0,08","0,00","0,08","0,08","0,08","0,06","0,05","0,11","0,06","0,11"
53,Kevin,Akpoguma, NGA,ZG,Hoffenheim, Bundesliga,28,1995,26,19,1.791,19.9,0,0,0,0,0,0,10,0,0.6,0.6,0.5,"1,2",16,79,23,"0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,06","0,03","0,06"
54,David,Alaba, AUT,ZG,Real Madrid, La Liga,30,1992,21,19,1.658,18.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,"1,8",15,63,60,"0,05","0,16","0,22","0,05","0,22","0,04","0,06","0,10","0,04","0,10"
55,Ángel,Alarcón, ESP,"LT,AT",Barcelona, La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,2,"0,00","0,00","0,00","0,00","0,00","0,15","0,00","0,15","0,15","0,15"
56,Tomás,Alarcón, CHI,LT,Cádiz, La Liga,24,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,"0,1",2,9,6,"0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,04","0,01","0,04"
57,Lucas,Alario, ARG,"AT,LT",Eint Frankfurt, Bundesliga,30,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,"1,5",2,8,17,"0,27","0,00","0,27","0,27","0,27","0,39","0,01","0,40","0,39","0,40"
58,Jordi,Alba, ESP,ZG,Barcelona, La Liga,34,1989,21,12,1.221,13.6,2,3,5,2,0,0,5,1,0.7,0.7,5.8,"6,5",37,123,131,"0,15","0,22","0,37","0,15","0,37","0,05","0,43","0,48","0,05","0,48"
59,Luis,Alberto, ESP,LT,Lazio, Serie A,30,1992,31,23,2.083,23.1,5,5,10,4,1,2,3,0,4.1,2.4,5.1,"7,6",61,199,78,"0,22","0,22","0,43","0,17","0,39","0,18","0,22","0,40","0,10","0,33"
60,Raúl,Albiol, ESP,ZG,Villarreal, La Liga,37,1985,25,24,2.119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0.0,"0,1",12,100,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01"
61,Marc,Albrighton,ENG,"AT,LT",Leicester City,Premier League,33,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,"1,3",4,7,18,"0,38","0,00","0,38","0,38","0,38","0,13","0,34","0,48","0,13","0,48"
62,Thiago,Alcántara, ESP,LT,Liverpool,Premier League,32,1991,18,14,1.254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,"1,5",13,120,24,"0,00","0,00","0,00","0,00","0,00","0,03","0,08","0,11","0,03","0,11"
63,Carlos,Alcaraz, ARG,"LT,AT",Southampton,Premier League,20,2002,15,10,797,8.9,4,1,5,4,0,0,2,0,1.6,1.6,0.5,"2,1",13,22,28,"0,45","0,11","0,56","0,45","0,56","0,18","0,06","0,24","0,18","0,24"
64,Rubén,Alcaraz, ESP,LT,Cádiz, La Liga,32,1991,27,20,1.823,20.3,3,0,3,1,2,2,9,1,2.9,1.3,1.2,"2,6",22,86,19,"0,15","0,00","0,15","0,05","0,05","0,14","0,06","0,20","0,07","0,13"
65,Omar,Alderete, PAR,ZG,Getafe, La Liga,26,1996,20,18,1.610,17.9,0,1,1,0,0,0,8,0,0.5,0.5,0.8,"1,3",21,75,8,"0,00","0,06","0,06","0,00","0,06","0,03","0,04","0,07","0,03","0,07"
66,Iván,Alejo, ESP,"LT,AT",Cádiz, La Liga,28,1995,27,11,1.109,12.3,0,1,1,0,0,0,11,1,0.9,0.9,2.2,"3,1",45,14,94,"0,00","0,08","0,08","0,00","0,08","0,08","0,17","0,25","0,08","0,25"
67,Doğan,Alemdar, TUR,G,Rennes, Ligue 1,20,2002,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
68,Carles,Aleñá, ESP,LT,Getafe, La Liga,25,1998,31,22,1.837,20.4,2,2,4,2,0,0,11,1,1.9,1.9,1.3,"3,2",21,81,73,"0,10","0,10","0,20","0,10","0,20","0,09","0,06","0,16","0,09","0,16"
69,Trent,Alexander-Arnold,ENG,ZG,Liverpool,Premier League,24,1998,34,31,2.653,29.5,1,8,9,1,0,0,4,0,2.0,2.0,10.0,"12,0",37,213,126,"0,03","0,27","0,31","0,03","0,31","0,07","0,34","0,41","0,07","0,41"
70,Alejandro,Alfaro, ESP,LT,Elche, La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
71,Ángel,Algobia, ESP,LT,Getafe, La Liga,23,1999,23,11,1.096,12.2,0,0,0,0,0,0,3,0,0.3,0.3,0.6,"0,9",10,41,11,"0,00","0,00","0,00","0,00","0,00","0,02","0,05","0,07","0,02","0,07"
72,Mohamed,Ali Cho, FRA,AT,Real Sociedad, La Liga,19,2004,16,4,491,5.5,0,2,2,0,0,0,1,0,1.4,1.4,1.5,"2,9",28,5,55,"0,00","0,37","0,37","0,00","0,37","0,25","0,28","0,53","0,25","0,53"
73,Faride,Alidou, GER,"ZG,LT",Eint Frankfurt, Bundesliga,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,"0,6",8,16,24,"0,00","0,49","0,49","0,00","0,49","0,05","0,24","0,28","0,05","0,28"
74,Jim,Allevinah, GAB,"ZG,AT",Clermont Foot, Ligue 1,28,1995,32,24,2.103,23.4,1,1,2,1,0,0,2,0,2.5,2.5,2.0,"4,5",78,56,132,"0,04","0,04","0,09","0,04","0,09","0,11","0,09","0,19","0,11","0,19"
75,Dele,Alli,ENG,LT,Everton,Premier League,27,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,1,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
76,Domingos,André Ribeiro Almeida, POR,LT,Valencia, La Liga,22,2000,29,24,2.097,23.3,2,4,6,2,0,0,2,0,1.0,1.0,2.8,"3,8",60,163,54,"0,09","0,17","0,26","0,09","0,26","0,04","0,12","0,17","0,04","0,17"
77,Miguel,Almirón, PAR,AT,Newcastle Utd,Premier League,29,1994,30,25,2.153,23.9,11,1,12,11,0,0,2,0,6.3,6.3,1.8,"8,1",65,109,222,"0,46","0,04","0,50","0,46","0,50","0,27","0,07","0,34","0,27","0,34"
78,Marcos,Alonso, ESP,ZG,Barcelona, La Liga,32,1990,19,9,920,10.2,1,0,1,1,0,0,2,0,0.9,0.9,0.3,"1,1",18,61,4,"0,10","0,00","0,10","0,10","0,10","0,08","0,03","0,11","0,08","0,11"
79,Mickaël,Alphonse, GLP,ZG,Ajaccio, Ligue 1,33,1989,24,13,1.279,14.2,0,0,0,0,0,0,2,0,0.5,0.5,0.6,"1,2",29,46,33,"0,00","0,00","0,00","0,00","0,00","0,04","0,05","0,08","0,04","0,08"
80,Éder,Álvarez Balanta, COL,"LT,AT",Schalke 04, Bundesliga,30,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,"0,4",3,12,0,"0,00","0,00","0,00","0,00","0,00","0,05","0,10","0,15","0,05","0,15"
81,Carlos,Álvarez, ESP,AT,Sevilla, La Liga,19,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,,,,,,,,"0,00","0,00","0,00","0,00","0,00",,,,,
82,Gastón,Álvarez, URU,ZG,Getafe, La Liga,23,2000,17,11,1.080,12.0,2,0,2,2,0,0,6,1,0.4,0.4,0.2,"0,6",6,28,22,"0,17","0,00","0,17","0,17","0,17","0,04","0,02","0,05","0,04","0,05"
83,Julián,Álvarez, ARG,"AT,LT",Manchester City,Premier League,23,2000,27,10,1.161,12.9,8,0,8,7,1,1,0,0,6.2,5.5,1.5,"6,9",32,34,81,"0,62","0,00","0,62","0,54","0,54","0,48","0,11","0,60","0,42","0,54"
84,Agustín,Álvarez Martínez, URU,"AT,LT",Sassuolo, Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,"1,9",2,6,19,"0,24","0,24","0,49","0,24","0,49","0,36","0,10","0,46","0,36","0,46"
85,Yeray,Álvarez, ESP,ZG,Athletic Club, La Liga,28,1995,27,26,2.242,24.9,1,1,2,1,0,0,7,1,0.8,0.8,0.9,"1,7",32,149,8,"0,04","0,04","0,08","0,04","0,08","0,03","0,04","0,07","0,03","0,07"
86,Ibrahim,Amadou, FRA,"ZG,LT",Angers, Ligue 1,30,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,"0,1",0,5,5,"0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,03","0,01","0,03"
87,Selim,Amallah, MAR,"LT,AT",Valladolid, La Liga,26,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.9,0.9,0.3,"1,1",11,10,9,"0,67","0,34","1,01","0,67","1,01","0,29","0,09","0,38","0,29","0,38"
88,Daniel,Amartey, GHA,ZG,Leicester City,Premier League,28,1994,20,18,1.610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,"1,6",23,66,5,"0,00","0,00","0,00","0,00","0,00","0,06","0,03","0,09","0,06","0,09"
89,Jordan,Amavi, FRA,ZG,Getafe, La Liga,29,1994,4,1,193,2.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,"0,0",4,5,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
90,Lukáš,Ambros, CZE,LT,Wolfsburg, Bundesliga,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
91,Kelvin,Amian, FRA,ZG,Spezia, Serie A,25,1998,27,23,2.104,23.4,0,1,1,0,0,0,4,0,2.1,2.1,2.1,"4,3",52,92,66,"0,00","0,04","0,04","0,00","0,04","0,09","0,09","0,18","0,09","0,18"
92,Bruno,Amione, ARG,ZG,Hellas Verona, Serie A,21,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
93,Bruno,Amione, ARG,ZG,Sampdoria, Serie A,21,2002,22,22,1.850,20.6,1,1,2,1,0,0,9,1,0.7,0.7,0.6,"1,3",10,54,9,"0,05","0,05","0,10","0,05","0,10","0,03","0,03","0,06","0,03","0,06"
94,Nadiem,Amiri, GER,"LT,AT",Leverkusen, Bundesliga,26,1996,22,8,877,9.7,4,1,5,3,1,1,5,0,1.7,0.9,1.0,"1,9",26,52,26,"0,41","0,10","0,51","0,31","0,41","0,17","0,10","0,28","0,09","0,20"
95,Ethan,Ampadu,s WAL,"ZG,LT",Spezia, Serie A,22,2000,27,27,2.305,25.6,0,1,1,0,0,0,10,1,1.0,1.0,1.1,"2,1",22,117,10,"0,00","0,04","0,04","0,00","0,04","0,04","0,04","0,08","0,04","0,08"
96,Sofyan,Amrabat, MAR,LT,Fiorentina, Serie A,26,1996,28,23,1.917,21.3,0,1,1,0,0,0,11,0,0.5,0.5,1.1,"1,6",36,175,24,"0,00","0,05","0,05","0,00","0,05","0,02","0,05","0,07","0,02","0,07"
97,Ayoub,Amraoui, MAR,"ZG,AT",Nice, Ligue 1,18,2004,5,3,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,"0,1",6,13,18,"0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,00","0,04"
98,Joachim,Andersen, DEN,ZG,Crystal Palace,Premier League,26,1996,29,29,2.512,27.9,1,0,1,1,0,0,8,0,1.8,1.8,1.1,"2,9",8,86,7,"0,04","0,00","0,04","0,04","0,04","0,07","0,04","0,10","0,07","0,10"
99,Elliot,Anderson,t SCO,"LT,AT",Newcastle Utd,Premier League,20,2002,18,1,224,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0.8,"1,7",17,14,21,"0,00","0,00","0,00","0,00","0,00","0,37","0,31","0,68","0,37","0,68"
100,Felipe,Anderson, BRA,AT,Lazio, Serie A,30,1993,34,32,2.735,30.4,9,2,11,9,0,0,2,0,5.9,5.9,4.6,"10,5",79,107,209,"0,30","0,07","0,36","0,30","0,36","0,19","0,15","0,34","0,19","0,34"
101,Benjamin,André, FRA,LT,Lille, Ligue 1,32,1990,30,29,2.556,28.4,1,1,2,1,0,0,10,0,1.4,1.4,1.8,"3,3",32,264,40,"0,04","0,04","0,07","0,04","0,07","0,05","0,06","0,12","0,05","0,12"
102,Komnen,Andrić, SRB,AT,Clermont Foot, Ligue 1,27,1995,30,16,1.403,15.6,4,3,7,3,1,2,3,0,5.4,3.8,0.9,"4,7",8,26,86,"0,26","0,19","0,45","0,19","0,38","0,35","0,06","0,40","0,25","0,30"
